cod_modelo_color,cod_color_code,des_product_type,sex_Female,sex_Male,sex_Unisex,age_Adult,age_Kids,line_HE,line_KIDS,line_SHE,line_VIOLETA,fabric_C-COMPLEMENTOS,fabric_J-JEANS,fabric_K-CIRCULAR,fabric_L-PIEL,fabric_O-POLIPIEL,fabric_P-PLANA,fabric_T-TRICOT
57049096-65,65,Jumpsuit,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57099098-05,5,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57067753-TO,52,Jacket,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57079104-37,37,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57057741-30,30,Coat,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
43031153-99,99,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53070567-02,2,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53060575-52,52,Kerchief,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53050579-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53030593-52,52,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53030547-05,5,Shorts,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
51030638-45,45,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53040741-56,56,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53073709-99,99,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53080599-37,37,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53003725-99,99,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53053040-99,99,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53090974-02,2,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53060987-02,2,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53063750-01,1,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53063755-TU,99,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
53015744-09,9,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
51015740-02,2,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53085778-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53005773-96,96,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57097878-43,43,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57019206-81,81,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57067887-99,99,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57007710-99,99,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57059203-85,85,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57007709-99,99,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57057700-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47010422-99,99,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
47091297-99,99,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57090027-99,99,Umbrella,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57050034-52,52,Top,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57022001-17,17,Shorts,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57002518-99,99,Citybag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57020256-88,88,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57020151-07,7,Shorts,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57000374-99,99,Shorts,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57072516-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
47028651-99,99,Bikini top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57094012-91,91,Vest,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57092003-CU,32,Wallet,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57054422-08,8,Shoulder bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57001067-02,2,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57023275-98,98,Bodymist,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57078266-TM,52,Skirt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57007734-08,8,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57007739-09,9,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57073821-70,70,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57057740-99,99,Beanie,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57096029-99,99,Coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53030594-08,8,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53000588-TC,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
53030547-TM,52,Shorts,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
53090804-99,99,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53023714-99,99,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53050881-17,17,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53083040-08,8,Cardigan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53050906-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53095015-43,43,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53013754-PL,99,Glasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51055745-TO,52,Shirt,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
51015766-92,92,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57044377-99,99,Trenchcoat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57067883-99,99,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57044755-80,80,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57045938-02,2,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57049203-17,17,Cardigan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57097696-37,37,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
37010684-CU,32,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47095844-02,2,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
47037825-CU,32,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57050037-OR,5,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57010726-88,88,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
47087132-08,8,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57041028-83,83,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57040305-01,1,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57050382-46,46,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57015144-TN,99,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57010481-20,20,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57065788-99,99,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57050453-15,15,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57094414-94,94,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57005974-TO,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57055983-99,99,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57091502-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57094431-DI,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57007771-03,3,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57075812-85,85,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57047760-56,56,Coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57028280-52,52,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
43040692-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53070611-02,2,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53030677-32,32,Glasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51060677-08,8,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53060722-CU,32,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53079062-05,5,Puffer coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53080880-37,37,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
43077046-05,5,Kerchief,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51003746-85,85,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53093047-99,99,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53091077-30,30,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53041096-OR,5,Necklace,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53065024-30,30,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51015740-99,99,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57007697-09,9,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57007109-92,92,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57015926-45,45,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57019209-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51083792-15,15,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57007902-07,7,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57027698-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53035770-56,56,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57027893-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57029604-56,56,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
67010585-09,9,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
47074023-01,1,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
47009026-PL,99,Bikini pantie,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57050259-56,56,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57013778-88,88,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57044397-50,50,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57000428-01,1,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57000451-07,7,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57006720-56,56,Coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57074012-07,7,Blouse,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57001096-02,2,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57023811-52,52,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57045972-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57078265-99,99,Outer vest,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57025980-99,99,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57015982-78,78,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57057717-OR,5,Jacket,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57006011-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57027741-20,20,Scarf,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
67040288-99,99,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
43035742-01,1,Shirt,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
43045777-99,99,Bikini top,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
43027025-99,99,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53070584-02,2,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53020606-30,30,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53070520-52,52,Shorts,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53020866-13,13,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53063714-06,6,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53080913-02,2,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53070860-05,5,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53045028-99,99,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51093789-30,30,Coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53075778-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57035904-02,2,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57955903-43,43,Ankle Boots,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53005032-TN,99,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57075941-96,96,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57007900-99,99,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57017901-05,5,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
47024024-OR,5,Necklace,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47093770-TM,52,Vest,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
47037839-30,30,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47037128-08,8,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57082001-99,99,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57040780-81,81,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
47038650-06,6,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57002891-05,5,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57012898-TM,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57034017-08,8,Kerchief,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57041115-85,85,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57043803-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57093811-05,5,Blouse,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57045800-94,94,Cardigan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57057752-09,9,Jacket,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
57088634-85,85,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57009098-99,99,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
41085754-09,9,Trenchcoat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
41085019-02,2,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53070609-02,2,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53010608-50,50,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53063706-56,56,Shorts,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53015714-96,96,Coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53053710-99,99,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53083715-05,5,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53040970-02,2,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53095748-92,92,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53063785-15,15,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53095735-PL,99,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53085022-20,20,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53095773-08,8,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57047884-02,2,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57004005-15,15,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57034384-99,99,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57019205-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57004393-99,99,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57069208-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57047699-37,37,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
47082880-99,99,Totes bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47015855-OR,5,Necklace,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47075862-68,68,Wallet,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57010046-99,99,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57010601-82,82,Sunglasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57050176-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57050250-30,30,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57050273-43,43,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57010756-08,8,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57010293-05,5,Jacket,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57010241-01,1,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57032883-46,46,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57040365-69,69,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57025956-37,37,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57032890-46,46,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57053800-99,99,Leggings,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57034774-50,50,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57081176-PL,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57074434-08,8,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57047745-85,85,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57056022-99,99,Jacket,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
57089098-99,99,Jacket,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57078273-30,30,Crossbody bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57078635-99,99,Shoulder bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57019102-99,99,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
43035022-23,23,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53040611-37,37,Shorts,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53030613-05,5,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53020667-32,32,Glasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53043026-99,99,Jumpsuit,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51030736-70,70,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
43089077-01,1,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
51043728-56,56,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53003738-28,28,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
51090925-15,15,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
51030979-07,7,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51031021-68,68,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53033766-OR,5,Necklace,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51053786-52,52,Blazer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53083787-OR,5,Necklace,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51055033-79,79,Coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53075772-76,76,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57075129-76,76,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57077650-91,91,Cardigan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
51023794-09,9,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57059604-01,1,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
47067110-OR,5,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
47055866-02,2,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57000256-88,88,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57010731-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57050158-TN,99,Shorts,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57040282-07,7,Shorts,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57040277-35,35,Trousers,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57040780-40,40,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57065135-08,8,Jacket,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57000405-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57002886-88,88,Shorts,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57074401-56,56,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57063800-99,99,Shoes,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57024403-37,37,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57092893-PL,99,Sandals,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57064030-99,99,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57004047-OR,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57004782-CU,32,Crossbody bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57061178-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57095804-99,99,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57055810-05,5,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57029095-99,99,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57069100-43,43,Trousers,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
41025020-02,2,Trenchcoat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51060587-08,8,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
51050592-08,8,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53020606-92,92,Handbag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53060624-99,99,Cosmetic bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53040541-TN,99,Jacket,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
41095829-02,2,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53070640-85,85,Cardigan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53055707-99,99,Coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53030653-56,56,T-Shirt,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53090718-57,57,Kerchief,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53045710-34,34,Puffer coat,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53000790-02,2,Top,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53050905-37,37,Blouse,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
